date,rad,.geo
20180301,"{avg_rad=1.0907229040192672, cf_cvg=13.032065260794747}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180401,"{avg_rad=1.1192936795079924, cf_cvg=11.138730353976696}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180501,"{avg_rad=0.9696285233107668, cf_cvg=9.16145774758422}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180601,"{avg_rad=0.9601289418819846, cf_cvg=6.048734538649408}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180701,"{avg_rad=0.9301768036251552, cf_cvg=2.733757164375464}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180801,"{avg_rad=0.9192792792409005, cf_cvg=3.458150562709858}","{""type"":""MultiPoint"",""coordinates"":[]}"
20180901,"{avg_rad=0.9717953381092453, cf_cvg=8.537687551223852}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181001,"{avg_rad=1.040089747501982, cf_cvg=11.529963910947592}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181101,"{avg_rad=1.320399958994629, cf_cvg=14.459496760790605}","{""type"":""MultiPoint"",""coordinates"":[]}"
20181201,"{avg_rad=1.3651232924910321, cf_cvg=14.79999285586722}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190101,"{avg_rad=1.5023454908581555, cf_cvg=17.243326683572928}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=1.376526859323617, cf_cvg=12.575596906245469}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.2192848188396677, cf_cvg=15.361265446164618}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.1498047979190744, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.1337841957027162, cf_cvg=10.96435511967464}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=1.051489723088579, cf_cvg=6.600652575755121}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=1.0336827125300836, cf_cvg=3.748326860694825}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=0.9816075072976131, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=0.9337357371517667, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.133463445347002, cf_cvg=8.670225575148093}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=1.2116196026315422, cf_cvg=12.241054265129518}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=1.3782752837072803, cf_cvg=12.016599277022316}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=1.514568668697256, cf_cvg=13.818369509840064}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=1.223544859287586, cf_cvg=14.290608355602787}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=1.1169912111152838, cf_cvg=13.969332578913807}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=1.1002028176595573, cf_cvg=11.959602006850306}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=0.9947526475304697, cf_cvg=9.56722223452358}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=0.9790087104796038, cf_cvg=5.294940880819159}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=0.9411341860973109, cf_cvg=3.632443199864772}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=0.8812692536469113, cf_cvg=4.24596121848486}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=0.8877420191600348, cf_cvg=4.270626329077532}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=0.9958829320948399, cf_cvg=9.447460126958477}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=1.2170855508252902, cf_cvg=12.408579297171558}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=1.155171815047506, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=1.1584930855256144, cf_cvg=13.605054942053446}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=1.2325046078405641, cf_cvg=14.63738431489076}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=1.1830855648510437, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=1.1960692114719762, cf_cvg=12.081728747111494}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=1.096254038374902, cf_cvg=8.66486760277168}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=1.0311302729673908, cf_cvg=5.908918862894147}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=0.9674569334149307, cf_cvg=3.928047079606539}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=1.011772762799859, cf_cvg=4.430318475787683}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=0.9486678527215333, cf_cvg=4.556598983175708}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=1.0714698999468457, cf_cvg=11.377191001181156}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=1.2304723435460603, cf_cvg=11.556362064052172}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=1.1560563273973892, cf_cvg=13.671930870161013}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=1.1891784958442397, cf_cvg=14.39864679984629}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=1.260476733640516, cf_cvg=12.382743089059533}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=1.289318200699161, cf_cvg=16.081742666651902}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=1.2271630835720786, cf_cvg=13.772174647193753}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=1.2222936039867658, cf_cvg=12.573252358567045}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=1.1584582191877086, cf_cvg=6.280903058654843}","{""type"":""MultiPoint"",""coordinates"":[]}"
